state,total_tickets,tipos_issue_distintos,primer_ticket,ultimo_ticket
AK,1173,16,2024-09-07 00:01:50+00:00,2026-08-02 00:41:32+00:00
AL,8458,15,2024-09-06 19:39:08+00:00,2026-08-03 02:58:49+00:00
AR,4258,16,2024-09-06 20:00:35+00:00,2026-08-03 03:38:25+00:00
AS,38,10,2024-09-15 18:23:57+00:00,2026-07-26 23:34:22+00:00
AZ,16092,16,2024-09-06 19:49:40+00:00,2026-08-03 04:19:32+00:00
CA,70178,16,2024-09-06 19:20:33+00:00,2026-08-03 03:45:29+00:00
CO,17381,16,2024-09-06 19:36:05+00:00,2026-08-03 00:32:47+00:00
CT,6611,15,2024-09-06 19:39:42+00:00,2026-08-03 00:06:05+00:00
DC,2919,15,2024-09-07 03:20:47+00:00,2026-08-02 21:50:09+00:00
DE,2144,15,2024-09-06 22:48:40+00:00,2026-08-02 20:58:35+00:00
FL,49524,16,2024-09-06 19:21:44+00:00,2026-08-03 03:49:25+00:00
GA,21340,16,2024-09-06 19:25:37+00:00,2026-08-03 01:32:16+00:00
GU,33,10,2024-09-10 00:39:08+00:00,2026-07-24 02:59:23+00:00
HI,1333,15,2024-09-06 20:04:43+00:00,2026-08-02 21:04:57+00:00
IA,3604,16,2024-09-06 20:34:08+00:00,2026-08-03 02:46:32+00:00
ID,2643,15,2024-09-06 21:08:33+00:00,2026-08-02 16:13:09+00:00
IL,21128,16,2024-09-06 19:32:22+00:00,2026-08-02 23:56:47+00:00
IN,9799,16,2024-09-06 20:04:38+00:00,2026-08-02 21:44:22+00:00
KS,4121,16,2024-09-07 01:49:24+00:00,2026-08-02 22:43:52+00:00
KY,6110,16,2024-09-06 20:26:30+00:00,2026-08-03 02:43:36+00:00
LA,8830,16,2024-09-06 19:48:22+00:00,2026-08-02 23:21:15+00:00
MA,11306,16,2024-09-06 19:23:10+00:00,2026-08-03 01:43:45+00:00
MD,11810,16,2024-09-06 20:02:23+00:00,2026-08-03 03:07:29+00:00
ME,2281,15,2024-09-06 22:18:00+00:00,2026-08-02 23:18:21+00:00
MI,17264,16,2024-09-06 20:55:28+00:00,2026-08-03 03:55:45+00:00
MN,6935,16,2024-09-06 20:23:38+00:00,2026-08-03 03:53:44+00:00
MO,9957,16,2024-09-06 19:52:55+00:00,2026-08-03 01:54:11+00:00
MP,7,3,2025-01-15 20:34:26+00:00,2026-05-13 11:21:55+00:00
MS,4096,16,2024-09-06 19:23:06+00:00,2026-08-03 00:43:05+00:00
MT,1630,15,2024-09-08 00:32:02+00:00,2026-08-02 15:37:22+00:00
NC,22085,16,2024-09-06 19:32:18+00:00,2026-08-03 03:42:20+00:00
ND,587,13,2024-09-10 00:26:09+00:00,2026-08-01 15:58:25+00:00
NE,2684,16,2024-09-06 22:20:12+00:00,2026-08-03 01:11:44+00:00
NH,2471,15,2024-09-06 21:09:31+00:00,2026-08-03 02:57:13+00:00
NJ,18000,16,2024-09-06 19:23:28+00:00,2026-08-03 04:10:23+00:00
NM,2963,16,2024-09-07 14:16:49+00:00,2026-08-02 14:40:33+00:00
NV,7083,16,2024-09-06 19:33:17+00:00,2026-08-03 02:56:01+00:00
NY,33871,16,2024-09-06 19:27:55+00:00,2026-08-03 04:21:32+00:00
OH,18690,16,2024-09-06 19:43:10+00:00,2026-08-03 03:50:25+00:00
OK,6679,16,2024-09-06 19:23:27+00:00,2026-08-03 00:15:00+00:00
OR,7271,16,2024-09-06 19:53:08+00:00,2026-08-02 22:37:20+00:00
PA,23347,16,2024-09-06 19:21:29+00:00,2026-08-03 02:47:14+00:00
PR,1374,14,2024-09-06 21:14:30+00:00,2026-08-02 23:29:31+00:00
RI,1423,15,2024-09-08 19:16:00+00:00,2026-08-02 19:30:49+00:00
SC,9008,16,2024-09-06 20:59:02+00:00,2026-08-03 02:14:33+00:00
SD,870,16,2024-09-10 13:33:32+00:00,2026-07-30 21:55:06+00:00
TN,12747,16,2024-09-06 23:52:30+00:00,2026-08-02 22:27:55+00:00
TX,52162,16,2024-09-06 19:29:32+00:00,2026-08-03 04:03:25+00:00
UT,4562,16,2024-09-06 20:20:14+00:00,2026-08-03 01:32:26+00:00
VA,17536,16,2024-09-06 19:48:55+00:00,2026-08-03 02:31:06+00:00
VI,134,12,2024-09-13 12:19:00+00:00,2026-07-30 19:52:23+00:00
VT,989,16,2024-09-06 22:23:52+00:00,2026-08-02 15:18:42+00:00
WA,18412,16,2024-09-06 19:42:36+00:00,2026-08-03 04:24:44+00:00
WI,7775,16,2024-09-06 20:23:07+00:00,2026-08-03 02:14:47+00:00
WV,3172,16,2024-09-06 20:38:38+00:00,2026-08-02 00:36:50+00:00
WY,921,16,2024-09-09 05:52:35+00:00,2026-08-02 16:21:29+00:00
,181,11,2024-09-13 11:29:11+00:00,2026-07-28 11:33:25+00:00
