id,ticket_created,issue_type,method,issue,city,state,zip
8961072,2026-08-03 04:24:44+00:00,Internet,Fiber,Equipment,Tacoma,WA,98407.0
8961067,2026-08-03 04:21:32+00:00,Internet,Wireless,Billing,New york,NY,10023.0
8961062,2026-08-03 04:19:32+00:00,Phone,Wireless (cell phone/other mobile device),Billing,Mesa,AZ,85207.0
8961058,2026-08-03 04:10:23+00:00,Phone,Internet (VOIP),Interference (including signal jammers),Moorestown,NJ,8057.0
8961048,2026-08-03 04:03:25+00:00,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,Salado,TX,76571.0
8961045,2026-08-03 03:55:45+00:00,Internet,Wireless,Availability,Dearborn,MI,48120.0
8961044,2026-08-03 03:53:44+00:00,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,Saint paul,MN,55112.0
8961040,2026-08-03 03:50:25+00:00,Phone,Wireless (cell phone/other mobile device),Number Portability (keeping your number if you change providers),Manchester,OH,45144.0
8961036,2026-08-03 03:49:25+00:00,Phone,Wireless (cell phone/other mobile device),Equipment,Cape coral,FL,33914.0
8961034,2026-08-03 03:45:29+00:00,Phone,Wireless (cell phone/other mobile device),Billing,Lancaster,CA,93536.0
8961033,2026-08-03 03:44:43+00:00,Internet,Wireless,Availability,Dearborn,MI,48120.0
8961032,2026-08-03 03:42:29+00:00,Phone,Wireless (cell phone/other mobile device),Billing,Los angeles,CA,91306.0
8961031,2026-08-03 03:42:20+00:00,TV,Cable,Billing,Charlotte,NC,28213.0
8961029,2026-08-03 03:38:25+00:00,Phone,Wired,Unwanted Calls,Batesville,AR,72501.0
8961027,2026-08-03 03:33:27+00:00,Internet,Wireless,Billing,Highland,CA,92346.0
8961023,2026-08-03 03:31:49+00:00,Phone,Wireless (cell phone/other mobile device),Billing,Beverly hills,CA,90212.0
8961018,2026-08-03 03:28:28+00:00,Internet,Cable,Speed,Durham,NC,27705.0
8961016,2026-08-03 03:25:00+00:00,Phone,Wireless (cell phone/other mobile device),Billing,Orlando,FL,32839.0
8961013,2026-08-03 03:22:08+00:00,Phone,Wireless (cell phone/other mobile device),Billing,North ridgeville,OH,44039.0
8961008,2026-08-03 03:17:40+00:00,Internet,Cable,Billing,Seattle,WA,98115.0
8961000,2026-08-03 03:07:29+00:00,Phone,Wireless (cell phone/other mobile device),Billing,Annapolis,MD,21404.0
8960999,2026-08-03 03:07:06+00:00,Phone,Wireless (cell phone/other mobile device),Billing,Forney,TX,75126.0
8960998,2026-08-03 03:06:33+00:00,Phone,Wireless (cell phone/other mobile device),Billing,San francisco,CA,94107.0
8960994,2026-08-03 03:01:18+00:00,Phone,Wireless (cell phone/other mobile device),Billing,Orlando,FL,32835.0
8960993,2026-08-03 02:58:49+00:00,Phone,Wireless (cell phone/other mobile device),Privacy,Tuscumbia,AL,35674.0
8960991,2026-08-03 02:57:13+00:00,Internet,Cable,Billing,Wolfeboro,NH,3894.0
8960990,2026-08-03 02:56:37+00:00,Phone,Wireless (cell phone/other mobile device),Billing,Gilbert,AZ,85234.0
8960988,2026-08-03 02:56:01+00:00,Phone,Wireless (cell phone/other mobile device),Interference (including signal jammers),Las vegas,NV,89139.0
8960986,2026-08-03 02:52:06+00:00,Phone,Wireless (cell phone/other mobile device),Number Portability (keeping your number if you change providers),Washougal,WA,98671.0
8960978,2026-08-03 02:47:14+00:00,Phone,Wireless (cell phone/other mobile device),Interference (including signal jammers),Hanover township,PA,18706.0
8960977,2026-08-03 02:46:32+00:00,Phone,Wireless (cell phone/other mobile device),Billing,Clinton,IA,52732.0
8960975,2026-08-03 02:43:36+00:00,Phone,Wireless (cell phone/other mobile device),Billing,Salvisa,KY,40372.0
8960974,2026-08-03 02:40:50+00:00,Internet,Cable,Interference,Prestonsburg,KY,41653.0
8960969,2026-08-03 02:31:06+00:00,Internet,Fiber,Billing,Falls church,VA,22044.0
8960968,2026-08-03 02:30:27+00:00,Internet,Wireless,Availability,Montebello,CA,90640.0
8960964,2026-08-03 02:25:00+00:00,Phone,Wireless (cell phone/other mobile device),Billing,Berwick,PA,18603.0
8960963,2026-08-03 02:24:33+00:00,Phone,Wireless (cell phone/other mobile device),Availability (including rural call completion),Sidney,TX,76474.0
8960960,2026-08-03 02:22:19+00:00,Phone,Wireless (cell phone/other mobile device),Billing,Richland hills,TX,76118.0
8960957,2026-08-03 02:19:13+00:00,Phone,Wireless (cell phone/other mobile device),Cramming (unauthorized charges on your phone bill),Delray beach,FL,33446.0
8960955,2026-08-03 02:18:25+00:00,Phone,Wireless (cell phone/other mobile device),Billing,Flushing,NY,11355.0
8960950,2026-08-03 02:16:18+00:00,Phone,Wireless (cell phone/other mobile device),Number Portability (keeping your number if you change providers),Astoria,NY,11106.0
8960947,2026-08-03 02:14:47+00:00,Phone,Wireless (cell phone/other mobile device),Equipment,Milwaukee,WI,53207.0
8960946,2026-08-03 02:14:33+00:00,Phone,Wireless (cell phone/other mobile device),Number Portability (keeping your number if you change providers),Marion,SC,29571.0
8960939,2026-08-03 02:03:59+00:00,Phone,Wireless (cell phone/other mobile device),Equipment,Wallins,KY,40873.0
8960938,2026-08-03 02:03:56+00:00,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,Pittsburgh,PA,15204.0
8960933,2026-08-03 01:55:19+00:00,Phone,Internet (VOIP),Billing,Columbia,PA,17512.0
8960931,2026-08-03 01:54:11+00:00,Phone,Wireless (cell phone/other mobile device),Number Portability (keeping your number if you change providers),Chesterfield,MO,63017.0
