state,total_tickets,tipos_issue_distintos,primer_ticket,ultimo_ticket
NJ,18000,16,2024-09-06 19:23:28,2026-08-03 04:10:23
IL,21128,16,2024-09-06 19:32:22,2026-08-02 23:56:47
CA,70178,16,2024-09-06 19:20:33,2026-08-03 03:45:29
OK,6679,16,2024-09-06 19:23:27,2026-08-03 00:15:00
KY,6110,16,2024-09-06 20:26:30,2026-08-03 02:43:36
KS,4121,16,2024-09-07 01:49:24,2026-08-02 22:43:52
IN,9799,16,2024-09-06 20:04:38,2026-08-02 21:44:22
LA,8830,16,2024-09-06 19:48:22,2026-08-02 23:21:15
WY,921,16,2024-09-09 05:52:35,2026-08-02 16:21:29
VA,17536,16,2024-09-06 19:48:55,2026-08-03 02:31:06
NY,33871,16,2024-09-06 19:27:55,2026-08-03 04:21:32
NE,2684,16,2024-09-06 22:20:12,2026-08-03 01:11:44
WV,3172,16,2024-09-06 20:38:38,2026-08-02 00:36:50
PR,1374,14,2024-09-06 21:14:30,2026-08-02 23:29:31
MN,6935,16,2024-09-06 20:23:38,2026-08-03 03:53:44
CT,6611,15,2024-09-06 19:39:42,2026-08-03 00:06:05
MD,11810,16,2024-09-06 20:02:23,2026-08-03 03:07:29
,181,11,2024-09-13 11:29:11,2026-07-28 11:33:25
PA,23347,16,2024-09-06 19:21:29,2026-08-03 02:47:14
ME,2281,15,2024-09-06 22:18:00,2026-08-02 23:18:21
WA,18412,16,2024-09-06 19:42:36,2026-08-03 04:24:44
UT,4562,16,2024-09-06 20:20:14,2026-08-03 01:32:26
OH,18690,16,2024-09-06 19:43:10,2026-08-03 03:50:25
NH,2471,15,2024-09-06 21:09:31,2026-08-03 02:57:13
MT,1630,15,2024-09-08 00:32:02,2026-08-02 15:37:22
DE,2144,15,2024-09-06 22:48:40,2026-08-02 20:58:35
ND,587,13,2024-09-10 00:26:09,2026-08-01 15:58:25
AK,1173,16,2024-09-07 00:01:50,2026-08-02 00:41:32
WI,7775,16,2024-09-06 20:23:07,2026-08-03 02:14:47
AZ,16092,16,2024-09-06 19:49:40,2026-08-03 04:19:32
ID,2643,15,2024-09-06 21:08:33,2026-08-02 16:13:09
TN,12747,16,2024-09-06 23:52:30,2026-08-02 22:27:55
SC,9008,16,2024-09-06 20:59:02,2026-08-03 02:14:33
SD,870,16,2024-09-10 13:33:32,2026-07-30 21:55:06
GA,21340,16,2024-09-06 19:25:37,2026-08-03 01:32:16
MP,7,3,2025-01-15 20:34:26,2026-05-13 11:21:55
DC,2919,15,2024-09-07 03:20:47,2026-08-02 21:50:09
NC,22085,16,2024-09-06 19:32:18,2026-08-03 03:42:20
NM,2963,16,2024-09-07 14:16:49,2026-08-02 14:40:33
OR,7271,16,2024-09-06 19:53:08,2026-08-02 22:37:20
MO,9957,16,2024-09-06 19:52:55,2026-08-03 01:54:11
MI,17264,16,2024-09-06 20:55:28,2026-08-03 03:55:45
MS,4096,16,2024-09-06 19:23:06,2026-08-03 00:43:05
IA,3604,16,2024-09-06 20:34:08,2026-08-03 02:46:32
NV,7083,16,2024-09-06 19:33:17,2026-08-03 02:56:01
TX,52162,16,2024-09-06 19:29:32,2026-08-03 04:03:25
RI,1423,15,2024-09-08 19:16:00,2026-08-02 19:30:49
CO,17381,16,2024-09-06 19:36:05,2026-08-03 00:32:47
VI,134,12,2024-09-13 12:19:00,2026-07-30 19:52:23
AR,4258,16,2024-09-06 20:00:35,2026-08-03 03:38:25
VT,989,16,2024-09-06 22:23:52,2026-08-02 15:18:42
MA,11306,16,2024-09-06 19:23:10,2026-08-03 01:43:45
AL,8458,15,2024-09-06 19:39:08,2026-08-03 02:58:49
FL,49524,16,2024-09-06 19:21:44,2026-08-03 03:49:25
HI,1333,15,2024-09-06 20:04:43,2026-08-02 21:04:57
AS,38,10,2024-09-15 18:23:57,2026-07-26 23:34:22
GU,33,10,2024-09-10 00:39:08,2026-07-24 02:59:23
