motor,transformacion,repeticion,tiempo_s
pandas,T1_filtrado,1,0.177682
pandas,T1_filtrado,2,0.184102
pandas,T1_filtrado,3,0.184637
pandas,T1_filtrado,4,0.185862
pandas,T1_filtrado,5,0.203595
pandas,T2_agrupacion,1,0.165349
pandas,T2_agrupacion,2,0.165982
pandas,T2_agrupacion,3,0.157455
pandas,T2_agrupacion,4,0.140742
pandas,T2_agrupacion,5,0.135326
pandas,T3_join,1,0.147614
pandas,T3_join,2,0.150927
pandas,T3_join,3,0.136132
pandas,T3_join,4,0.136325
pandas,T3_join,5,0.134642
pandas,T4_columna_derivada,1,0.329487
pandas,T4_columna_derivada,2,0.355749
pandas,T4_columna_derivada,3,0.35589
pandas,T4_columna_derivada,4,0.372709
pandas,T4_columna_derivada,5,0.457266
pandas,T5_top_n,1,0.116895
pandas,T5_top_n,2,0.114377
pandas,T5_top_n,3,0.116559
pandas,T5_top_n,4,0.126931
pandas,T5_top_n,5,0.136525
pyspark,T1_filtrado,1,1.078875
pyspark,T1_filtrado,2,0.999065
pyspark,T1_filtrado,3,0.974661
pyspark,T1_filtrado,4,1.40821
pyspark,T1_filtrado,5,1.245746
pyspark,T2_agrupacion,1,1.782973
pyspark,T2_agrupacion,2,1.633529
pyspark,T2_agrupacion,3,1.905399
pyspark,T2_agrupacion,4,2.616984
pyspark,T2_agrupacion,5,1.885391
pyspark,T4_columna_derivada,1,0.848307
pyspark,T4_columna_derivada,2,0.931418
pyspark,T4_columna_derivada,3,0.927446
pyspark,T4_columna_derivada,4,0.792891
pyspark,T4_columna_derivada,5,0.843282
pyspark,T5_top_n,1,1.502195
pyspark,T5_top_n,2,1.645615
pyspark,T5_top_n,3,1.428594
pyspark,T5_top_n,4,1.324393
pyspark,T5_top_n,5,1.379379
pyspark,T3_join_N1,1,3.071177
pyspark,T3_join_N1,2,2.698972
pyspark,T3_join_N1,3,3.916218
pyspark,T3_join_N1,4,3.16396
pyspark,T3_join_N1,5,2.639769
pyspark,T3_join_N2,1,2.638282
pyspark,T3_join_N2,2,2.399408
pyspark,T3_join_N2,3,4.608542
pyspark,T3_join_N2,4,3.210198
pyspark,T3_join_N2,5,3.125159
pyspark,T3_join_N4,1,1.82899
pyspark,T3_join_N4,2,1.86274
pyspark,T3_join_N4,3,1.984019
pyspark,T3_join_N4,4,1.740403
pyspark,T3_join_N4,5,1.716667
